Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,Comptabilisé,Actions,0,23078320,BMG0415W1010,46178 A0,318.192,0.024756343,AM2 EURO A,EUR,38.618,12214.77271,12147.05769,12287.93866,12154.86028,60,60,-7964.981344,0,7.802589675,7.802589675,0.0642344,1.61E-05,4.47E-05,0.0642344,-2.86E-05,38.06361717
,Comptabilisé,Fonds alternatifs,0,225201210,KYG0370A1287,46178 A0,0.926,0.000238918,AMAERUS ABRAX MRG ARB C,USD,135.7036,117.2999713,118.4646314,125.6615336,117.303785,,,118.5880941,0,-1.160846412,-1.160846412,-0.979909698,-2.40E-06,2.15E-06,-0.979909698,-4.55E-06,0.36734329
,Comptabilisé,Actions,1,249246560,AT0000A18XM4,54570000,1400,0.020758499,AMS-OSRAM,CHF,7.28,11519.63077,9450,10192,10192,48,48,-10864,2014.432075,742,742,7.851851852,0.001533397,0,7.851851852,0.0015334,0.134828212
,Comptabilisé,Obligations,0,132813650,LU0646914142,15549 00,1122.514,0.351077391,ARCANO EUROP INC ESG BA,EUR,155.24,44294.93846,0,174259.0734,172371.8476,97,98,-4339.692923,34474.36952,-2265.077797,-2265.077797,-5.00279573,-0.004680947,0.00093706,-1.297021115,-0.00561801,3.928199726
,Comptabilisé,Obligations,0,132813650,LU0646914142,51921000,1433.589,0.448369183,ARCANO EUROP INC ESG BA,EUR,155.24,219189.0406,212939.6994,222550.3564,220140.136,110,110,20250.35636,44028.0272,7200.436578,7200.436578,3.381443947,0.014880224,0.00081038,3.381443947,0.01406985,5.942390925
,Comptabilisé,Obligations,0,132813650,LU0646914142,52122600,2150.383,0.672553618,ARCANO EUROP INC ESG BA,EUR,155.24,328783.4844,319409.4749,333825.4569,330210.1272,110,110,30375.52692,66042.02544,10800.65236,10800.65236,3.381443947,0.022320331,0.00121557,3.381443947,0.02110476,8.653250499
,Comptabilisé,Obligations,0,132813650,LU0646914142,53233600,1075.192,0.336276966,ARCANO EUROP INC ESG BA,EUR,155.24,164391.8186,159704.8117,166912.8061,165105.1404,100,110,25.26039015,33021.02808,5400.328689,5400.328689,3.381443947,0.011160171,0.00060778,3.381443947,0.01055239,7.634224469
,Comptabilisé,Obligations,0,132813650,LU0646914142,53233700,2123.972,0.664293316,ARCANO EUROP INC ESG BA,EUR,155.24,324745.3662,315486.4883,329725.4133,326154.4871,100,110,1339.497054,65230.89741,10667.99876,10667.99876,3.381443947,0.022046193,0.00120064,3.381443947,0.02084556,4.802074271
,Comptabilisé,Obligations,0,132813650,LU0646914142,534552A0,2213,0.692137706,ARCANO EUROP INC ESG BA,EUR,155.24,338357.3303,328710.359,343546.12,339825.5155,102,102,7893.79,67965.1031,11115.15654,11115.15654,3.381443947,0.022970277,0.00125096,3.381443947,0.02171931,5.00357529
,Comptabilisé,Obligations,0,132813650,LU0646914142,60864 F4,1424.401,0.445495545,ARCANO EUROP INC ESG BA,EUR,155.24,217784.2384,211574.9499,221124.0112,218729.2382,109,109,19030.00124,43745.84764,7154.288336,7154.288336,3.381443947,0.014784855,0.00080518,3.381443947,0.01397967,7.294974742
,Comptabilisé,Actions,0,351207290,CA0435041094,46178 00,200000,0.068761529,ASCENDANT RESOURCES,CAD,0.245,34729.18436,32775.84,49000,33760.51,124,117,6649.63941,0,984.67,984.67,3.004255574,0.002034892,0.00062386,3.004255574,0.00141104,8.616842828
,Comptabilisé,Actions,0,180301130,CA0475591099,46178 00,60000,0.021891425,ATICO MINING,CAD,0.26,10461.09608,8603.658,15600,10748.244,51,48,-10095.85807,0,2144.586,2144.586,24.92644408,0.004431942,0.00019883,24.92644408,0.00423311,2.74332139
,Comptabilisé,Actions,0,383252400,CA05334L1094,46178 00,130000,0.072971418,AUXICO RESOURCES CANADA,CAD,0.4,39261.60617,39945.555,52000,35827.48,85,80,-6189.890218,0,-4118.075,-4118.075,-10.30921964,-0.008510301,0.00066144,-10.30921964,-0.00917174,9.144404634
,Comptabilisé,Actions,0,180194770,CA05461V2012,46178 A0,20000,0.000982308,AXMIN,CAD,0.035,630.0386667,477.981,700,482.293,2,2,-18443.64658,0,4.312,4.312,0.902127909,8.91E-06,8.91E-06,0.902127909,0,1.510327202
,Comptabilisé,Actions,0,483231160,CA0783147055,46178 A0,1250,0,BELLATRIX EXPLORATION,CAD,0,0,0,0,0,,,-164541.28,,0,0,,0,0,0,0,0
,Comptabilisé,Actions,0,127314300,CA09214V1040,46178 00,75000,0.007893543,BLACK IRON,CAD,0.075,4102.798942,4096.98,5625,3875.56875,22,21,-13136.0093,0,-221.41125,-221.41125,-5.404255085,-0.000457562,7.16E-05,-5.404255085,-0.00052914,0.989178386
,Comptabilisé,Actions,0,448925050,CA13648X1087,46178 A0,13333,0.007484061,CANADIAN PREMIUM SAND,CAD,0.4,3791.492014,3823.752404,5333.2,3674.521468,194,207,1803.762235,0,-149.2309358,-149.2309358,-3.90E+00,-3.08E-04,6.79E-05,-3.90E+00,-0.00037627,11.50696719
,Comptabilisé,Actions,0,1101561310,CA1567881018,46178 00,30000,0.037889006,CERRADO GOLD INC,CAD,0.9,18926.08485,18026.712,27000,18602.73,85,81,-3167.586652,0,576.018,576.018,3.195358089,0.001190383,0.00034376,3.195358089,0.00084662,4.748056252
,Comptabilisé,Actions,1,12142630,CH0012142631,54570000,2288,0.073908728,CLARIANT (NOM),CHF,15.86,35790.18667,33519.2,36287.68,36287.68,96,96,-1487.2,21516.60121,2768.48,2768.48,8.259385666,0.005721265,0,8.259385666,0.00572126,0.480043468
,Comptabilisé,Actions,0,1150967470,CA19682H1073,46178 A0,240,0.000309848,COLOURED TIES CAPITAL,CAD,0.92,130.6116388,98.32752,220.8,152.128992,9,10,-1388.825413,0,53.801472,53.801472,54.71659613,0.000111185,2.82E-06,54.71659613,0.00010837,0.476400352
,Comptabilisé,Avoirs en compte,0,,,46178 00,1438.93,0.002019245,COMPTE ORDINAIRE EN CAD,CAD,0.68899,990.2863843,982.5445719,1438.93,991.4083807,,,,800.5622674,8.8638088,8.8638088,0.902127909,1.83E-05,1.83E-05,0.902127909,0,0.253041503
,Comptabilisé,Avoirs en compte,0,,,32540 00,57284.41,0.1166737,COMPTE ORDINAIRE EN CHF,CHF,100,57406.54231,57681.34,57284.41,57284.41,,,,53780.30575,-396.93,0,-0.688142821,-0.000820285,0,-0.688142821,-0.00082028,28.65569827
,Comptabilisé,Avoirs en compte,0,,,46178 00,7724.77,0.015733382,COMPTE ORDINAIRE EN CHF,CHF,100,7724.77,7724.77,7724.77,7724.77,,,,7252.243541,0,0,0,0,0,0,0,1.971626879
,Comptabilisé,Avoirs en compte,0,,,51732900,136903.07,0.278836557,COMPTE ORDINAIRE EN CHF,CHF,100,96535.34718,75623.35,136903.07,136903.07,,,,128528.6688,-134.63,0,-0.137633618,-0.000278223,0,-0.199730587,-0.00027822,72.78066312
,Comptabilisé,Avoirs en compte,0,,,51921000,4550.34,0.009267879,COMPTE ORDINAIRE EN CHF,CHF,100,4550.34,4550.34,4550.34,4550.34,,,,4271.99436,0,0,0,0,0,0,0,0.122830392
,Comptabilisé,Avoirs en compte,0,,,52122600,320.76,0.000653306,COMPTE ORDINAIRE EN CHF,CHF,100,320.76,320.76,320.76,320.76,,,,301.1390162,0,0,0,0,0,0,0,0.008405607
,Comptabilisé,Avoirs en compte,0,,,53182600,2000,0.004073489,COMPTE ORDINAIRE EN CHF,CHF,100,2000,2000,2000,2000,,,,1877.65941,0,0,0,0.00E+00,0,0,0,0.907215538
,Comptabilisé,Avoirs en compte,0,,,53233600,97820.29,0.199234925,COMPTE ORDINAIRE EN CHF,CHF,100,175374.0731,-1558.98,97820.29,97820.29,,,,91836.59401,-2179.71,0,-1.165749382,-0.004504529,0,-0.72657,-0.00450453,4.523069662
,Comptabilisé,Avoirs en compte,0,,,532336A0,11810.24,0.02405444,COMPTE ORDINAIRE EN CHF,CHF,100,11810.24,11810.24,11810.24,11810.24,,,,11087.80414,0,0,0,0.00E+00,0,0,0,10.36937668
,Comptabilisé,Avoirs en compte,0,,,532336B0,200,0.000407349,COMPTE ORDINAIRE EN CHF,CHF,100,266.6666667,0,200,200,,,,187.765941,-50.5525921,-50.5525921,-13.57756072,-0.000104471,0,-0.558558076,-0.00010447,0.145332104
,Comptabilisé,Avoirs en compte,0,,,53233700,443870.01,0.904049745,COMPTE ORDINAIRE EN CHF,CHF,100,299268.1321,15375.33,443870.01,443870.01,,,,416718.3506,-6544.71,0,-2.086453372,-0.013525118,0,-2.075213049,-0.01352512,6.535236642
,Comptabilisé,Avoirs en compte,0,,,53233800,2618.18,0.005332563,COMPTE ORDINAIRE EN CHF,CHF,100,5527.308205,7156.42,2618.18,2618.18,,,,2458.025157,4.4876976,4.4876976,0.078369908,9.27E-06,0,0.062708695,9.27E-06,0.503168858
,Comptabilisé,Avoirs en compte,0,,,532338A0,2117.89,0.004313601,COMPTE ORDINAIRE EN CHF,CHF,100,2204.134359,2600.94,2117.89,2117.89,,,,1988.338044,-1.0370636,-1.0370636,-0.046793791,-2.14E-06,0,-0.047748437,-2.14E-06,0.847743498
,Comptabilisé,Avoirs en compte,0,,,532338B0,2864.71,0.005834682,COMPTE ORDINAIRE EN CHF,CHF,100,2864.71,2864.71,2864.71,2864.71,,,,2689.474845,0,0,0,0.00E+00,0,0,0,1.739252645
,Comptabilisé,Avoirs en compte,0,,,54570000,2723806.98,5.547698538,COMPTE ORDINAIRE EN CHF,CHF,100,2795963.781,2979842.29,2723806.98,2723806.98,,,,2557190.904,-1150.33,0,-0.041008372,-0.00237724,0,-0.042214606,-0.00237724,36.03277332
,Comptabilisé,Avoirs en compte,0,,,54617000,491470.53,1.000999836,COMPTE ORDINAIRE EN CHF,CHF,100,503259.8915,542378.08,491470.53,491470.53,,,,461407.1327,-539.05,-1.00E-10,-0.106925654,-1.11E-03,0,-0.109560875,-0.00111399,48.52636103
,Comptabilisé,Avoirs en compte,0,,,15549 00,69422.89,0.139865354,COMPTE ORDINAIRE EN EUR,EUR,0.98917,68442.6827,-391971.9897,69422.89,68671.0401,,,,65237.4881,332.4883736,392.4874986,0.539198301,0.000687111,0.00064902,-50.83451138,3.81E-05,1.564951381
,Comptabilisé,Avoirs en compte,0,,,46178 00,111489.25,0.224615879,COMPTE ORDINAIRE EN EUR,EUR,0.98917,66040.25106,55976.83572,111489.25,110281.8214,,,,104767.7304,153.4781096,153.4781096,0.236112588,0.000317174,0.00031717,0.192691944,0,28.14771228
,Comptabilisé,Avoirs en compte,0,,,51732900,43279.99,0.087195609,COMPTE ORDINAIRE EN EUR,EUR,0.98917,47431.72344,67443.05536,43279.99,42811.26771,,,,40670.70432,418.7423524,418.7423524,0.881648022,8.65E-04,0.00086535,0.178250979,1.00E-08,22.75940527
,Comptabilisé,Avoirs en compte,0,,,51921000,183923.3,0.370547777,COMPTE ORDINAIRE EN EUR,EUR,0.98917,60519.48925,13352.92316,183923.3,181931.4107,,,,172834.8401,-1716.416577,472.4231455,-3.041697276,-3.55E-03,0.00096864,-15.86239657,-0.00451574,4.910997073
,Comptabilisé,Avoirs en compte,0,,,52122600,39731.31,0.080046131,COMPTE ORDINAIRE EN EUR,EUR,0.98917,182232.8732,262998.6876,39731.31,39301.01991,,,,37335.96892,-7075.239545,32.3230144,-3.461086367,-0.014621495,4.19E-05,-7.91262981,-0.01466342,1.029894428
,Transmis,Avoirs en compte,0,,,52122600,230780.16,0.464949657,COMPTE ORDINAIRE EN EUR,EUR,0.98917,5853.354125,0,230780.16,228280.8109,,,,216866.7703,,,,,,,,5.982163712
,Comptabilisé,Avoirs en compte,0,,,53182600,128019.17,0.257918485,COMPTE ORDINAIRE EN EUR,EUR,0.98917,127178.7077,126407.4086,128019.17,126632.7224,,,,120301.0863,225.3137392,225.3137392,0.178244093,0.000465627,0.00046563,0.178244093,0,57.4415867
,Comptabilisé,Avoirs en compte,0,,,53233600,30146.63,0.060736006,COMPTE ORDINAIRE EN EUR,EUR,0.98917,31148.72117,14881.47334,30146.63,29820.142,,,,28329.1349,-2.9413431,-2.9413431,-0.009707787,-6.08E-06,1.98E-05,-0.447359676,-2.59E-05,1.378840521
,Comptabilisé,Avoirs en compte,0,,,532336A0,11314.08,0.022794323,COMPTE ORDINAIRE EN EUR,EUR,0.98917,13941.51386,26130.07768,11314.08,11191.54851,,,,10631.97109,100.9961311,225.7807845,0.713543831,0.000208716,0.00046616,-0.926582205,-0.00025744,9.826166294
,Comptabilisé,Avoirs en compte,0,,,532336B0,4698.43,0.009465863,COMPTE ORDINAIRE EN EUR,EUR,0.98917,12346.2803,22236.05849,4698.43,4647.546003,,,,4415.168703,3.0774237,146.0996059,0.023955436,6.36E-06,0.00030142,-0.98101515,-0.00029507,3.377188184
,Comptabilisé,Avoirs en compte,0,,,53233700,-165365.73,-0.333160092,COMPTE ORDINAIRE EN EUR,EUR,0.98917,-6430.423858,17150.57114,-165365.73,-163574.8191,,,,-155396.0782,241.1097134,241.1097134,4.70975875,0.000498271,0.00049827,0.01809668,0,-2.408363096
,Transmis,Avoirs en compte,0,,,53233700,347796.8,0.700701494,COMPTE ORDINAIRE EN EUR,EUR,0.98917,8821.286171,0,347796.8,344030.1607,,,,326828.6526,,,,,,,,5.06526339
,Comptabilisé,Avoirs en compte,0,,,532338B0,4666.59,0.009401716,COMPTE ORDINAIRE EN EUR,EUR,0.98917,4682.392838,4757.884456,4666.59,4616.05083,,,,4385.248289,-141.8336252,8.457854,-2.981022901,-0.000293109,1.70E-05,-2.981022901,-0.00031006,2.802544975
,Transmis,Avoirs en compte,0,,,532338B0,29852.16,0.060142742,COMPTE ORDINAIRE EN EUR,EUR,0.98917,757.1502848,0,29852.16,29528.86111,,,,28052.41805,,,,,,,,17.92787046
,Comptabilisé,Avoirs en compte,0,,,53455200,20666.61,0.041636739,COMPTE ORDINAIRE EN EUR,EUR,0.98917,21861.28684,24704.81059,20666.61,20442.79061,,,,19420.65108,-4262.019978,43.3818856,-17.25178164,-0.008807773,7.46E-05,-17.25178164,-0.00888236,0.564447132
,Comptabilisé,Avoirs en compte,0,,,534552A0,10158.12,0.020465427,COMPTE ORDINAIRE EN EUR,EUR,0.98917,131329.5008,14752.23125,10158.12,10048.10756,,,,9545.702182,-1431.28109,6824.395226,-1.172389291,-0.002957846,0.01407421,-8.754832842,-0.01703206,0.147947874
,Comptabilisé,Avoirs en compte,0,,,53896900,180755.93,0.364166519,COMPTE ORDINAIRE EN EUR,EUR,0.98917,48675.52462,3199.139281,180755.93,178798.3433,,,,169858.4261,-292.2451484,402.0370014,-0.666974362,-0.000603946,0.00082841,-21.60753208,-0.00143235,30.70191119
,Comptabilisé,Avoirs en compte,0,,,54617000,3350.1,0.006749401,COMPTE ORDINAIRE EN EUR,EUR,0.98917,3516.746371,4122.446624,3350.1,3313.818417,,,,3148.127496,-194.1482071,-194.1482071,-5.310549159,-0.000401221,3.20E-05,-4.916679816,-0.00043325,0.327196727
,Comptabilisé,Avoirs en compte,0,,,60864 F4,122354.95,0.246506858,COMPTE ORDINAIRE EN EUR,EUR,0.98917,311962.9928,373044.436,122354.95,121029.8459,,,,114978.3536,-7206.758924,286.9763843,-2.210806112,-0.01489329,0.00056683,-1.85E+00,-0.01546012,4.036541598
,Comptabilisé,Avoirs en compte,0,,,60864 W1,1381805.99,2.783905778,COMPTE ORDINAIRE EN EUR,EUR,0.98917,1379301.6,1389900.276,1381805.99,1366841.031,,,,1298498.98,-5817.368884,2715.727543,-0.422525415,-0.012022015,0.00558238,-0.443375467,-0.0176044,39.61945043
,Comptabilisé,Avoirs en compte,0,,,15549 00,570287.97,1.084277399,COMPTE ORDINAIRE EN USD,USD,0.93349,1540311.296,2249516.847,570287.97,532358.1171,,,,455898.7797,-1559.056226,5370.911011,-0.096986627,-0.003221903,0.01128917,0.512606501,-0.01451107,12.13196377
,Comptabilisé,Avoirs en compte,0,,,46178 00,4915.85,0.00934641,COMPTE ORDINAIRE EN USD,USD,0.93349,4542.371447,4548.14442,4915.85,4588.896817,,,,3929.821659,40.7523965,40.7523965,0.896022482,8.42E-05,8.42E-05,0.896022482,0,1.171244232
,Comptabilisé,Avoirs en compte,0,,,46178 A0,2699.26,0.00513205,COMPTE ORDINAIRE EN USD,USD,0.93349,2510.748667,3143.32074,2699.26,2519.732217,,,,2157.838504,28.6625236,28.6625236,1.134113762,5.92E-05,6.50E-05,0.806362459,-5.77E-06,7.890680788
,Comptabilisé,Avoirs en compte,0,,,51732900,8987.02,0.017086846,COMPTE ORDINAIRE EN USD,USD,0.93349,8304.236916,8314.790904,8987.02,8389.2933,,,,7184.39046,74.5023958,74.5023958,0.896022482,0.000153965,0.00015396,0.896022482,0,4.45993161
,Comptabilisé,Avoirs en compte,0,,,51921000,83888.1,0.159494809,COMPTE ORDINAIRE EN USD,USD,0.93349,17928.47869,0,83888.1,78308.70247,,,,67061.70292,1028.473309,1028.473309,6.533196171,0.002125415,0.0021254,1.330836257,1.00E-08,2.113839536
,Comptabilisé,Avoirs en compte,0,,,52122600,-30330.53,-0.057666845,COMPTE ORDINAIRE EN USD,USD,0.93349,-726.8975921,0,-30330.53,-28313.24645,,,,,-185.3809164,-185.3809164,-36.03051664,-0.000383103,-0.00037062,-0.985816378,-1.25E-05,-0.741956693
,Comptabilisé,Avoirs en compte,0,,,53182600,18.05,3.43E-05,COMPTE ORDINAIRE EN USD,USD,0.93349,16.67866282,16.69986,18.05,16.8494945,,,,14.42950475,0.1496345,0.1496345,0.896022482,3.09E-07,3.10E-07,8.96E-01,0,0.007643062
,Comptabilisé,Avoirs en compte,0,,,53233600,5465.29,0.010391049,COMPTE ORDINAIRE EN USD,USD,0.93349,3319.022337,2801.7369,5465.29,5101.793562,,,,4369.054185,157.4466621,157.4466621,4.862174352,0.000325375,0.00011271,3.13E+00,0.00021266,0.235899604
,Comptabilisé,Avoirs en compte,0,,,532336B0,315.8,0.000600424,COMPTE ORDINAIRE EN USD,USD,0.93349,299.3112417,0,315.8,294.796142,,,,252.4563768,13.4961908,13.4961908,3.438454322,2.79E-05,2.79E-05,1.330903058,1.00E-08,0.214216717
,Comptabilisé,Avoirs en compte,0,,,53233700,158.38,0.000301125,COMPTE ORDINAIRE EN USD,USD,0.93349,44744.08232,22117.95148,158.38,147.8461462,,,,126.6119093,816.8246702,816.8246702,1.717180699,0.001688027,0.00164953,1.176419462,3.85E-05,0.002176785
,Comptabilisé,Avoirs en compte,0,,,532338A0,3.36,6.39E-06,COMPTE ORDINAIRE EN USD,USD,0.93349,3.104726154,3.108672,3.36,3.1365264,,,,2.686046314,0.0278544,0.0278544,8.96E-01,5.76E-08,6.00E-08,0.896022482,0,0.001255481
,Comptabilisé,Avoirs en compte,0,,,53455200,1783.57,0.003391067,COMPTE ORDINAIRE EN USD,USD,0.93349,1648.064413,1650.158964,1783.57,1664.944759,,,,1425.818936,14.7857953,14.7857953,0.896022482,3.06E-05,3.06E-05,0.896022482,0,0.045970891
,Comptabilisé,Avoirs en compte,0,,,534552A0,52217.18,0.099279506,COMPTE ORDINAIRE EN USD,USD,0.93349,31126.8488,3888.828396,52217.18,48744.21536,,,,41743.38211,1629.464577,1629.464577,5.2580232,0.003367407,0.00071182,1.25119155,0.00265558,0.717707589
,Comptabilisé,Avoirs en compte,0,,,53896900,31375.49,0.059653607,COMPTE ORDINAIRE EN USD,USD,0.93349,6705.537543,0,31375.49,29288.70616,,,,25082.14859,384.6657541,384.6657541,6.533201345,0.00079494,0.00079494,1.330837311,0,5.029237066
,Comptabilisé,Avoirs en compte,0,,,54570000,2960.02,0.005627828,COMPTE ORDINAIRE EN USD,USD,0.93349,-10845.67007,0,2960.02,2763.14907,,,,2366.294884,542.4790698,542.4790698,4.411661134,0.001121072,0.00329418,17.12441654,-0.00217311,0.036553223
,Comptabilisé,Avoirs en compte,0,,,60864 F4,20624.75,0.039213435,COMPTE ORDINAIRE EN USD,USD,0.93349,15189.66662,14043.63856,20624.75,19252.99788,,,,16487.80765,192.5984153,192.5984153,1.278401005,0.000398019,0.00039802,0.977099426,0,0.642118696
,Comptabilisé,Avoirs en compte,0,,,60864 W1,14313.56,0.027214093,COMPTE ORDINAIRE EN USD,USD,0.93349,13226.09645,13242.90571,14313.56,13361.56512,,,,11442.52532,118.6594124,118.6594124,0.896022482,0.000245218,0.00024522,0.896022482,0,0.387300246
,Comptabilisé,Avoirs en compte,0,,,52122600,38.55,7.85E-05,COMPTE REVENUS EN CHF,CHF,100,38.55,38.55,38.55,38.55,,,,36.19188513,0,0,0,0,0,0,0,0.001010214
,Comptabilisé,Avoirs en compte,0,,,53233700,-12393.41,-0.025242208,COMPTE REVENUS EN CHF,CHF,100,-12393.41,-12393.41,-12393.41,-12393.41,,,,,0,0,0,0,0,0,0,-0.182472042
,Comptabilisé,Avoirs en compte,0,,,54570000,2008201.28,4.090192656,COMPTE REVENUS EN CHF,CHF,100,2009249.788,2010016.58,2008201.28,2008201.28,,,,1885359.015,-4.66E-11,0,0,0,0,0,0,26.56614879
,Facturé,Avoirs en compte,0,,,54570000,-2500,-0.005091861,COMPTE REVENUS EN CHF,CHF,100,-64.1025641,0,-2500,-2500,,,,-2347.074263,,,,,,,,-0.033072069
,Comptabilisé,Avoirs en compte,0,,,15549 00,-1080.35,-0.002176566,COMPTE REVENUS EN EUR,EUR,0.98917,-1073.257364,-1066.748394,-1080.35,-1068.64981,,,,,-1.901416,-1.901416,-1.78E-01,-3.93E-06,-3.93E-06,-1.78E-01,0,-0.02435357
,Comptabilisé,Avoirs en compte,0,,,52122600,1263.98,0.002546523,COMPTE REVENUS EN EUR,EUR,0.98917,1255.681809,1248.066492,1263.98,1250.291097,,,,1187.776542,2.2246048,2.2246048,1.78E-01,4.60E-06,4.60E-06,1.78E-01,0,0.032764235
,Comptabilisé,Avoirs en compte,0,,,532336A0,5000,0.010073432,COMPTE REVENUS EN EUR,EUR,0.98917,4080.815385,0,5000,4945.85,,,,4698.5575,-59.65,-59.65,-1.462527583,-0.000123271,-0.00012327,-1.191689142,0,4.342450422
,Comptabilisé,Avoirs en compte,0,,,53233700,1500.74,0.003023521,COMPTE REVENUS EN EUR,EUR,0.98917,1115.68591,74.8654262,1500.74,1484.486986,,,,1410.262637,-12.4184404,-12.4184404,-1.138778801,-2.57E-05,-9.07E-06,-0.860117054,-1.66E-05,0.021856565
,Comptabilisé,Avoirs en compte,0,,,15549 00,-15167.62,-0.0288379,COMPTE REVENUS EN USD,USD,0.93349,-14015.26979,-14033.08202,-15167.62,-14158.82159,,,,,-1.26E+02,-125.7395698,-0.896022482,-0.00025985,-0.00025985,-0.896022482,0,-0.322666838
,Comptabilisé,Actions,0,413099720,CA25043D1078,46178 00,15000,0.050939663,DESERT MOUNTAIN ENERGY,CAD,2.42,28103.75762,28371.5865,36300,25010.337,106,100,1512.794502,0,-3361.2495,-3361.2495,-11.84723843,-0.006946266,0.00046168,-1.18E+01,-0.00740794,6.38349785
,Comptabilisé,Actions,0,444336750,LU1901202280,15549 00,9213.128,2.698665785,DHARMARESEARCH DR EQ A,EUR,145.39,1181647.901,1109421.081,1339496.68,1324989.931,130,138,331811.7534,0,77213.55303,77213.55303,6.849083271,0.159567405,0.0043446,6.825584806,0.1552228,30.19533152
,Comptabilisé,Actions,0,444336750,LU1901202280,32540 00,330,0.096662036,DHARMARESEARCH DR EQ A,EUR,145.39,46496.66427,44311.70235,47978.7,47459.09068,124,143,9441.580679,0,3147.388332,3147.388332,7.102837773,0.006504306,0.00017492,7.10E+00,0.00632938,23.74072427
,Comptabilisé,Actions,0,444336750,LU1901202280,51921000,7849.542,2.299250637,DHARMARESEARCH DR EQ A,EUR,145.39,1105992.482,1054019.905,1141244.911,1128885.229,144,144,353667.4514,0,74865.32395,74865.32395,7.102837773,0.154714619,0.0041608,7.102837773,0.15055382,30.47275913
