RM Desk,RM Code,External Asset Manager Code,BP Code,BP ISO currency,Container code,Container ISO currency,Asset ID,ISIN,Asset Name,Asset Type,Asset ISO Currency,Bloomberg Ticker,S&P Rating,Asset Country,Asset Industry,Asset Economical Sector,Contract Code,Buy Currency,Sell Currency,FX Contract Operation Type,Postions ID,Position type,Position ISO Currency,Current Account Code,Last booking date,Reference date,Asset Price Date,Maturity date,FX rate container CCY,FX rate BP CCY,FX rate BU CCY,Asset Rate,Average Cost Price,Average Cost Price in container currency,Price,Quantity,Cost amount,Annual coupons amount,P/L in %,Weight,Accrued Interests in position currency,Valuation in position currency,Accrued Interests in container currency,Valuation in container currency,Accrued Interests in BP currency,Valuation in BP currency,Accrued Interests in BU currency,Valuation in BU currency,Total Accrued Interests in container currency,AUM net without accrued interests in container currency,AUM net in container currency,AUM net in BU currency,Quotation Type,Strike Price
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,5789928,,Client à Vue - CC - EOQ USD,Public Money Account,USD,,,United States of America,,,,,,,7105828,Current Account,USD,1611603.137,,03.04.2023,,,0.91877986,0.91877986,0.913599956,0,1,1,0,63948.37,63948.37,0,0.003477482,0.021187056,0,63948.37,0,58754.47,0,58754.47446,0,58423.23,-1.35,2773130.49,2773129.14,2757494.78,,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,5789921,,Client à Vue - CC - EOQ GBP,Public Money Account,GBP,,,United Kingdom,,,,,,,8202232,Current Account,GBP,1611603,,03.04.2023,,,1.138092619,1.138092613,1.131676266,0,1,1,0,169.47,169.47,0,1.46E-05,0.0000695,0,169.47,0,192.87,0,192.8725551,0,191.79,-1.35,2773130.49,2773129.14,2757494.78,,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,16785568,,Guarantee call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,6844696,VGG7238P1146,Uts Prima Cap Fd Red.Pref.Uts -D- EUR (1865947),Fund - Other,EUR,PRMCAPD VI Equity,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,18540249,Security,EUR,,,03.04.2023,24.03.2023,,1,1,0.994362192,0,356.3191992,356.32,308.53,313.497,111705,0,0.023429607,0.035051999,0,96723.23,0,96723.23,0,96723.23,0,96177.92,0,2759421.26,2759421.26,2743864.17,Price per Piece,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,15221198,XS2003586869,NTS HoldIKKS SAS -In Default- Technical Code,Bond/Note - Fixed Rate,EUR,,D,France,,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,14864665,XS1978209002,1.5% NTS Abengoa Abenewco 2 SAU 19-26.10.24 Guarant Sec Pay In Kind R (47666461),Bond/Note - Convertible,EUR,,,Spain,,Energy & water supply (TKBN-92),,,,,14877833,Security,EUR,,,03.04.2023,03.04.2023,26.10.2024,1,1,0.994362192,1.5,0.727835155,0.73,0.001,32871,23924.66938,493.065,4.21E-06,0.0000198,0,34.76,0,34.76,0,34.76,0,34.57,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,6825687,CH0002811260,Gold - Bars 500 Grams (999.9/1000) (281126),Metal - Physical,CHF,,,Switzerland,,Precious metals & precious stones (TKBN-26),,,,,16209063,Security,USD,,,03.04.2023,03.04.2023,,0.91877986,0.91877986,0.913599956,0,49.31763176,44.58,63.939589,1,49.3176318,0,0.015869601,0.010591016,0,31966.6,0,29370.27,0,29370.26828,0,29204.68,-1.35,2773130.49,2773129.14,2757494.78,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,12051420,LU1901202363,Uts Dharm DR Glb Cr Uts -A- Cap (44433685),Fund - Other,EUR,DRGLCRA LX Equity,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,12099293,Security,EUR,,,03.04.2023,31.03.2023,,1,1,0.994362192,0,100.478552,100.48,94.93,5704.208,573150.56,0,0.023600716,0.308447072,0,541500.47,0,541500.47,0,541500.47,0,538447.59,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,12051420,LU1901202363,Uts Dharm DR Glb Cr Uts -A- Cap (44433685),Fund - Other,EUR,DRGLCRA LX Equity,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,12099295,Security,EUR,,,03.04.2023,31.03.2023,,1,1,0.994362192,0,101.2105243,101.21,94.93,9884.469,1000412.29,0,0.139131941,0.340046898,0,938332.64,0,938332.64,0,938332.64,0,933042.5,0,2759421.26,2759421.26,2743864.17,Price per Piece,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,9321344,LU1693257310,Uts ESL Dir Len Uts -A- Cap (38647309),Fund - Bond,EUR,ESLDILA LX Equity,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,12046311,Security,EUR,,,03.04.2023,28.02.2023,,1,1,0.994362192,0,105.6120727,105.61,125.15,1194.229,126125,0,0.027631008,0.05416272,0,149457.76,0,149457.76,0,149457.76,0,148615.14,0,2759421.26,2759421.26,2743864.17,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6844946,VGG5532C1445,Uts LL Assets Uts -G- EUR (25236276),Fund - Other,EUR,,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,7349548,Security,EUR,,,03.04.2023,31.12.2022,,1,1,0.994362192,0,1090.580465,1090.58,6.605,114.615,124996.88,0,0,0.000431216,0,757.03,0,757.03,0,757.03,0,752.76,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,17121423,IE00BD08G390,Uts MontLak AlpQue Accum Institutional Uts EUR (33531414),Fund - Other,EUR,MLAQSEI ID Equity,,Ireland,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,17131293,Security,EUR,,,03.04.2023,31.03.2023,,1,1,0.994362192,0,89.37758502,89.38,97.1293,617.8868,55225.23,0,-0.193657,0.034185424,0,60014.91,0,60014.91,0,60014.91,0,59676.56,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6826003,ES0105200416,Shs Abengoa SA EUR 0.02 (1268457),Share - Bearer,EUR,,,Spain,Construction & Engineering                             ,Building materials & building industry (TKBN-29),,,,,11217175,Security,EUR,,,03.04.2023,27.12.2022,,1,1,0.994362192,0,0,0,0.0165,8524,0,0,0,0.0000801,0,140.65,0,140.65,0,140.65,0,139.85,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,9319594,IE00BD85PG80,Uts Liontrust GF Abs Ret Uts -A5- Hedged EUR (42140747),Fund - Bond,EUR,LIARBA5 ID Equity,,Ireland,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,9639994,Security,EUR,,,03.04.2023,03.04.2023,,1,1,0.994362192,0,9.238907447,9.24,9.1019,9400,86845.73,0,-0.023648858,0.031005726,0,85557.86,0,85557.86,0,85557.86,0,85075.5,0,2759421.26,2759421.26,2743864.17,Price per Piece,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,6825686,CH0002811286,Gold - Bars 1 Kilogram (999.9/1000) (281128),Metal - Physical,CHF,,,Switzerland,,Precious metals & precious stones (TKBN-26),,,,,16209013,Security,USD,,,03.04.2023,03.04.2023,,0.91877986,0.91877986,0.913599956,0,49.51696614,44.79,63.939589,27,1336.958086,0,0.85695589,0.571914797,0,1726196.27,0,1585994.36,0,1585994.368,0,1577052.84,-1.35,2773130.49,2773129.14,2757494.78,Price per Piece,
GFI Geneva,6862481,6931119,1158037,EUR,1158037.1,EUR,6845330,VGG5532C1288,Uts LL Assets Uts -D- EUR (25212400),Fund - Other,EUR,,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,7446963,Security,EUR,,,03.04.2023,01.01.2023,,1,1,0.994362192,0,428.1943009,428.19,15.197,1069.403,457912.27,0,0.275921258,0.278728078,0,16251.72,0,16251.72,0,16251.72,0,16160.09,0,58306.72,58306.72,57977.99,Price per Piece,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,6844405,VGG7238PAA45,Uts Prima Cap Fd Ptg.Pref.Uts -C- CHF (513948),Fund - Other,CHF,PRMCAPC VI Equity,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,18540239,Security,CHF,,,03.04.2023,24.03.2023,,1.005669775,1.005669773,1,0,240.4975449,225.06,208.18,419.339,100850,0,0.007089223,0.031658427,0,87297.99,0,87792.95,0,87792.94976,0,87297.99,-1.35,2773130.49,2773129.14,2757494.78,Price per Piece,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,17121423,IE00BD08G390,Uts MontLak AlpQue Accum Institutional Uts EUR (33531414),Fund - Other,EUR,MLAQSEI ID Equity,,Ireland,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,17131331,Security,EUR,,,03.04.2023,31.03.2023,,1,1,0.994362192,0,89.75029313,89.75,97.1293,1107.3624,99386.1,0,-0.146863217,0.03897822,0,107557.33,0,107557.33,0,107557.33,0,106950.95,0,2759421.26,2759421.26,2743864.17,Price per Piece,
