Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,13.16206289,16.64237792,0,0,2.21021613,0.594990373,6.035932141,0.744623435,39.39020289,,,,,,,,,,,,,,,,,
,EUR,6.319084701,-18.74630814,0,31.23650501,24.14417512,1.20811356,3.690928199,3.596349831,51.44884828,,,,,,,,,,,,,,,,,
,USD,1.363703282,2.042868981,1.131590121,,0.019113972,2.356749989,1.264292336,0.730461718,8.908780399,,,,,,,,,,,,,,,,,
,CAD,0.002005511,,,,0.250162918,,,,0.252168429,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,20.84685639,-0.061061243,1.131590121,31.23650501,26.62366814,4.159853922,10.99115267,5.071434984,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 48'418'238 CHF Positions non soldées - Segment Total (219),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,532338B0,33825.26,0.069620255,COMPTE ORDINAIRE EN EUR,EUR,0.99656,16006.338,4757.884456,33825.26,33708.90111,,,,32023.45605,-112.6280212,215.05462,-0.695775529,-0.00023376,0.00044258,-2.896892157,-0.00067634,20.63809906
,Comptabilisé,Avoirs en compte,0,,,532336B0,4539.22,0.009342771,COMPTE ORDINAIRE EN EUR,EUR,0.99656,9328.397435,22236.05849,4539.22,4523.605083,,,,4297.424829,-120.8634962,180.7350302,-1.256252838,-0.000250853,0.00037171,-3.621656913,-0.00062257,3.327028025
,Transmis,Avoirs en compte,0,,,532336B0,10520.25,0.021653122,COMPTE ORDINAIRE EN EUR,EUR,0.99656,163.8134428,0,10520.25,10484.06034,,,,9959.857323,,,,,,,,7.710832826
,Comptabilisé,Avoirs en compte,0,,,532336A0,11192.17,0.02303609,COMPTE ORDINAIRE EN EUR,EUR,0.99656,12866.22767,26130.07768,11192.17,11153.66894,,,,10595.98549,63.1165527,309.3260043,0.487410215,0.000130999,0.00063935,-1.261911967,-0.00050835,9.878217467
,Comptabilisé,Avoirs en compte,0,,,53233600,330835.37,0.680936169,COMPTE ORDINAIRE EN EUR,EUR,0.99656,36146.10469,14881.47334,330835.37,329697.2963,,,,313212.4315,-2158.577013,-2158.577013,-3.722031654,-0.004480139,-0.00230384,-6.651176641,-0.0021763,3.728097387
,Comptabilisé,Avoirs en compte,0,,,53182600,127240.08,0.261889691,COMPTE ORDINAIRE EN EUR,EUR,0.99656,127029.8153,126407.4086,127240.08,126802.3741,,,,120462.2554,284.1340095,1171.12966,0.224723089,0.000589722,0.00241455,0.225063024,-0.00182483,57.47422944
,Comptabilisé,Avoirs en compte,0,,,52122600,368643.61,0.758754324,COMPTE ORDINAIRE EN EUR,EUR,0.99656,257891.033,262998.6876,368643.61,367375.476,,,,349006.7022,-9702.395855,1946.151367,-3.533179861,-0.020137378,0.00393089,-12.75157529,-0.02406827,9.826566696
,Comptabilisé,Avoirs en compte,0,,,51921000,240610.73,0.495232867,COMPTE ORDINAIRE EN EUR,EUR,0.99656,132854.0039,13352.92316,240610.73,239783.0291,,,,227793.8776,-5099.630763,2001.236861,-3.887541562,-0.010584313,0.00406779,-16.88144054,-0.0146521,6.549745177
,Comptabilisé,Avoirs en compte,0,,,46178 00,110300.74,0.227024587,COMPTE ORDINAIRE EN EUR,EUR,0.99656,83272.54644,55976.83572,110300.74,109921.3055,,,,104425.2402,-207.0378585,971.1617829,-0.250201744,-0.000429708,0.0020057,-0.13484223,-0.00243541,30.88135409
,Comptabilisé,Avoirs en compte,0,,,15549 00,27802.33,0.057223664,COMPTE ORDINAIRE EN EUR,EUR,0.99656,40935.93849,-391971.9897,27802.33,27706.68998,,,,26321.35549,-519.3089225,-379.3096419,-1.026011544,-0.001077829,0.00024509,-53.33208982,-0.00132292,0.650725872
