Breakdown General (Weighting),,,,,,,,,,,,,,,,,
,,Cash,STerm,Bonds,Equit,HF,Comm,RealEst,Other,Total,,,,,,,
,1,K00149ED,LU1873130741,11.911,JPM USD LIQUIDITY LYNAV A,USD,10519.86,1.755437275,0.66445215,-8.980758463,0.00260815,-0.034922127,-0.03753028,112489.9176,-1752.248905,125125,CLEARSTREAM BANKING LU OMN K080
Bonds,,,,,,,,,,,,,,,,,
,1,K00149ED,LU0646914142,730.502,ARCANO EUROP INC ESG BA,EUR,155.19,1.74116617,3.16426245,2.828882735,0.05466379,0.048871052,-0.00579274,111575.413,7502.25538,105864.35,NORTHERN LU OMN K0K0
,0,K00149ED,LU1901202363,3277.13,DHARMARESEARCH DR GBL A,EUR,95.3,4.796689962,1.51256924,1.182559062,0.07315658,0.057196634,-0.01595995,307375.9833,4620.749,307689.74,EFA DHARMARES LU OMN KAAU
,0,K06899YP,LU1901202363,6543,DHARMARESEARCH DR GBL A,EUR,95.3,9.576898818,1.51256924,1.182559062,0.14606181,0.114196744,-0.03186506,613695.8432,28445.38364,619622.1,EFA DHARMARES LU OMN KAAU
,1,K00149ED,IE00B0M62X26,243,ISHARES EUR INFL LINK ETF,EUR,220.92,0.824510871,2.19734468,1.865108351,0.0181456,0.015402338,-0.00274326,52835.35975,-1168.83,54852.39,CLEARSTREAM ETF ITA 31354 OMN
,1,K00149ED,IE00B96LYN04,816.915,MUZINICH AM H HDG EUR,EUR,109.93,1.379266464,-0.18251124,-2.478955855,-0.00205476,-0.028337527,-0.02628277,88384.57119,3480.05595,86323.41,CLEARSTREAM BANKING LU OMN K080
,1,K00149ED,IE00BJCXFM61,627.681,MUZINICH GL S/DUR H HDG,EUR,97.82,0.943021771,1.26459781,0.939234835,0.0120651,0.008960894,-0.0031042,60429.63928,1339.75542,60060,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,IE00BJCXFM61,627.681,MUZINICH GL S/DUR H HDG,EUR,97.82,0.943021771,0.9494324,0.621252947,0.00907817,0.005940351,-0.00313782,60429.63928,1395.372239,60150,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,IE00B685HQ37,757.142,MUZINICH S/DUR HY HDG GBP,GBP,69.19,0.912094462,0.66271386,-2.324643763,0.00509785,-0.018379173,-0.02347702,58447.79096,-749.57502,53136.23,CLEARSTREAM BANKING LU OMN K080
Equities,,,,,,,,,,,,,,,,,
,0,K00149ED,LU1901202280,4820.45,DHARMARESEARCH DR EQ A,EUR,143.67,10.63674511,3.30066787,2.789655077,0.28473389,0.240791124,-0.04394276,681611.6975,31240.1915,661313.86,EFA DHARMARES LU OMN KAAU
,0,K06899YP,LU1901202280,3370,DHARMARESEARCH DR EQ A,EUR,143.67,7.436200152,5.64747408,5.304021621,0.40687643,0.382140476,-0.02473595,476518.0472,37393.60992,462936.9,EFA DHARMARES LU OMN KAAU
,1,K00149ED,US46090E1038,105,INVESCO QQQ TRUST I,USD,318.86,0.469047118,19.84355272,16.2900694,0.0817072,0.067075156,-0.01463205,30056.93933,1300.692838,29623.65,CAC US MKT OMN 15%
,1,K06899YP,US46090E1038,130,INVESCO QQQ TRUST I,USD,318.86,0.580725003,19.89714915,16.3432785,0.10142067,0.083305283,-0.01811539,37213.35345,-483.2550094,41009.8,CAC US MKT OMN 15%
,1,K06899YP,IE0005042456,5145,ISHARES CORE FTSE 100 ETF,GBP,7.738447,0.693199662,8.83207696,9.741920441,0.12641466,0.139023552,0.01260889,44420.82546,2415.309815,37399,CLEARSTREAM/ETF CONV ICSD OR GBP
,1,K06899YP,IE00B0M62S72,5943,ISHARES EURO DIVIDEND ETF,EUR,17.31,1.580002871,0.0848307,-0.239461512,0.0013753,-0.003882308,-0.00525761,101247.9314,3677.437572,103431.97,CLEARSTREAM ETF NED 31287 OMN
,1,K06899YP,IE00B42Z5J44,2253,ISHARES MSCI JPN EUR HDG,EUR,63.075,2.182596875,10.34814556,9.989411548,0.2095016,0.202243325,-0.00725828,139862.669,13443.15079,132712.96,CLEARSTREAM/ETF CONV ICSD OR GBP
,1,K00149ED,IE00B5BMR087,409,ISHS ETF S&P500 B UCITS,USD,431.23,2.470924102,8.87172107,5.641577598,0.21171226,0.134628416,-0.07708385,158338.9236,3751.650878,160127.59,CLEARSTREAM/ETF CONV ICSD OR GBP
,1,K06899YP,GB00B57TMD12,4515.736,LIONTRUST UK SM INSTIT,GBP,17.5224,1.377657576,-3.66061512,-3.418230114,-0.05327172,-0.049746103,0.00352562,88281.4723,-7086.547514,86213.08,BNY/LIONTRUST
,1,K06899YP,GB00B7BZB324,56665,MI SOMERSET ASIA INC I£,GBP,1.35393706,1.335772565,4.81520759,5.084662041,0.06253215,0.066030961,0.00349881,85597.4451,-1677.446495,78398.29,CLEARSTREAM BANKING LU OMN K080
,1,K00149ED,FR0011475078,985,MUF LYXOR JAP DLY HDG D €,EUR,155.7,2.355482712,10.27693179,9.918429297,0.2246855,0.216852259,-0.00783324,150941.3409,13307.35,140057.15,CLEARSTREAM ETF FRA 31280 OMN
,1,K06899YP,LU0328681852,222.83445,PICTET ASIA(EX-JP) EUR HI,EUR,169.97,0.581714227,3.35664336,3.020638227,0.01933717,0.017401865,-0.0019353,37276.74376,309.4516145,39328.05,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,US78462F1030,528,SPDR S&P500 TRUST UNIT S1,USD,414.21,3.063949714,9.07149118,5.844202751,0.26880293,0.173175127,-0.0956278,196340.5105,-3506.726542,217530.72,CAC US MKT OMN 15%
,1,K00149ED,US78464A7634,885,SPDR TR S&P DIVIDEND ETF,USD,124.06,1.538162357,-0.37496911,-3.319258042,-0.00610734,-0.054062193,-0.04795485,98566.75553,-5245.788514,106778.1,CAC US MKT OMN 15%
,1,K06899YP,US78464A7634,1360,SPDR TR S&P DIVIDEND ETF,USD,124.06,2.363729723,-0.36022539,-3.304594742,-0.00901588,-0.08270804,-0.07369216,151469.8164,-6256.812866,172121.6,CAC US MKT OMN 15%
Hedge Funds,,,,,,,,,,,,,,,,,
,0,K06899YP,XD0427641663,162.3338,ALPHAQUEST F EUR S070118,EUR,1052.7673,2.624801224,-11.90085827,-12.18726235,-0.36292706,-0.371669312,-0.00874225,168199.5008,-32321.82537,210340.95,CITCO FD CUR/ALPHAQUEST/INE/KKQ1
,0,K00149ED,XD1259254963,100,PETERS THEM C 022823 ORRR,USD,1000,1.400964502,-0.60532398,-6.327680328,-0.00472117,-0.049383954,-0.04466278,89775,-2686.863784,100320.5,IFS US/PETERS DYNAMICS/INE/KJ64
,1,K00149ED,VGG7238P1146,242.248,PRIMA CAPITAL FUND D,EUR,313.36,1.165893381,3.68262581,3.345560939,0.04238642,0.038507701,-0.00387872,74711.44211,-898.73672,76809.57,CREDIT SUISSE FUND LU OMN K0TJ
,1,K06899YP,VGG7238P1146,135.655,PRIMA CAPITAL FUND D,EUR,313.36,0.65288162,3.68262581,3.345560939,0.02373572,0.021563696,-0.00217202,41837.21096,1460.380559,42810,CREDIT SUISSE FUND LU OMN K0TJ
,0,K06899YP,XD1117869309,100,QBERA TR FIN EARL IN 0421,USD,1074.7124,1.505633922,0,-2.96692607,0,-0.04696972,-0.04696972,96482.30571,-9351.584563,105869.92,APEX/IE/QBERA/INE/KKH1
Gold and other commodities,,,,,,,,,,,,,,,,,
,1,K00149ED,GB00B15KXV33,9363,WISDOMT.ETC-CRUDE OIL IDX,USD,9.37625,1.229904337,4.22398221,1.131733715,0.05241065,0.014042349,-0.0383683,78813.31876,-3171.239992,86017.05,CAC GB MKT OMN
,1,K06899YP,GB00B15KXV33,18480,WISDOMT.ETC-CRUDE OIL IDX,USD,9.37625,2.427494623,10.45461127,6.603549704,0.18657525,0.117750742,-0.06882451,155555.9255,3796.989747,163004.95,CAC GB MKT OMN
,1,K00149ED,JE00B1VS3770,865,WISDOMT.ETC-PHYSICAL GD $,USD,188.85,2.288549065,10.34825289,7.074301809,0.22566054,0.154265994,-0.07139454,146652.1757,4686.958041,147197.05,CAC GB MKT OMN
,1,K06899YP,JE00B1VS3770,1108,WISDOMT.ETC-PHYSICAL GD $,USD,188.85,2.93145938,10.34825289,7.074301809,0.28905419,0.197603146,-0.09145105,187850.417,15370.53713,184277.02,CAC GB MKT OMN
,1,K00149ED,GB00B15KYH63,6300,WISDOMTREE-ETC-AIGCI(LDN),USD,6.96,0.614294915,3.44000435,0.371015896,0.02148034,0.002316716,-0.01916363,39364.542,364.2564865,40422.44,CAC GB MKT OMN
,1,K06899YP,GB00B15KYH63,8400,WISDOMTREE-ETC-AIGCI(LDN),USD,6.96,0.819059886,3.44000435,0.371015896,0.02864046,0.003088954,-0.0255515,52486.056,2055.81214,54522.97,CAC GB MKT OMN
Real Estate,,,,,,,,,,,,,,,,,
,0,K00149ED,LU1912828099,1410.92,SEGETIA LUX SWISS PROP C,CHF,147.7508,3.253148947,0,0,0,0,0,208464.5587,68222.16531,141092,FIDUCENTER /LU/SEGETIA/KDE0
Other investments,,,,,,,,,,,,,,,,,
,0,K06899YP,LU1693257310,2707.23,EUROPEAN SEC LEND A RAIF,EUR,125.86,5.233207552,1.31208243,0.982724021,0.06937199,0.051959396,-0.0174126,335348.4027,22147.32925,330742.29,EFA EUROPEAN SEC LENDING LU KA37
,1,K00149ED,IE00BD08G390,1102.5314,MONTLAKE ALPHAQUEST INS €,EUR,97.6928,1.654278412,-6.94366818,-7.158561053,-0.15545357,-0.160238314,-0.00478475,106007.5714,-7857.000446,115566.38,NTRS/IE/MONTLAKE/INE
