Breakdown General (Weighting),,,,,,,,,,,,,,,,,
,,Cash,STerm,Bonds,Equit,HF,Comm,RealEst,Other,Total,,,,,,,
,CHF,0.110396404,,,,,,,,0.110396404,,,,,,,
,USD,0.272181344,,,10.61342747,,5.219257606,,0,16.10486642,,,,,,,
,EUR,0.24538263,,3.93976877,5.682899906,1.879957754,,,,11.74800906,,,,,,,
,GBP,0.091913418,5.896049027,,1.380421115,,,,,7.368383559,,,,,,,
,Miscellaneous,,7.150305752,16.98230474,20.28294057,5.624363839,4.5215822,3.25671937,6.846963316,64.66517979,,,,,,,
,Other,0.00316476,,,,,,,,0.00316476,,,,,,,
,Total,0.723038555,13.04635478,20.92207351,37.95968907,7.504321593,9.740839807,3.25671937,6.846963316,100,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total : 6'401'060 CHF Non-zero-balance positions - Segment Total (48),,,,,,,,,,,,,,,,,
,,Client No.,ISIN code,Balance,Description,Currency,Price (QC),Weight (%) ,"MW Perf. (QC, %)","MW Perf. (CHF, %)","MW Perf.  weighted  (QC, %)","MW Perf.  weighted  (CHF, %)",Currency Effect MW weighted (%),Valuation + accr. interest (CHF) ,Unrealized P / L Total  (BC) (holding per.) ,Total Purchase Cost (QC) (holding per.),Custodian
,1,K00149ED,US78464A7634,885,SPDR TR S&P DIVIDEND ETF,USD,117.3,1.482557696,-5.7910741,-6.910674197,-0.09427166,-0.11249477,-0.01822311,94899.40668,-8014.233949,106778.1,CAC US MKT OMN 15%
,1,K06899YP,US78464A7634,1360,SPDR TR S&P DIVIDEND ETF,USD,117.3,2.278280753,-5.77672218,-6.896358588,-0.14449989,-0.172502593,-0.02800271,145834.1165,-13306.20311,172121.6,CAC US MKT OMN 15%
Hedge Funds,,,,,,,,,,,,,,,,,
,0,K06899YP,XD0427641663,162.3338,ALPHAQUEST F EUR S070118,EUR,1095.1699,2.706632654,-8.35246475,-9.54886415,-0.25481311,-0.291318567,-0.03650546,173253.1783,-30166.02265,210340.95,CITCO FD CUR/ALPHAQUEST/INE/KKQ1
,0,K00149ED,XD1259254963,100,PETERS THEM C 022823 ORRR,USD,968.3186,1.382893053,-5.25101757,-7.083506401,-0.05140996,-0.069394887,-0.01798492,88519.81314,-3068.809654,100320.5,IFS US/PETERS DYNAMICS/INE/KJ64
,1,K00149ED,VGG7238P1146,242.248,PRIMA CAPITAL FUND D,EUR,326.76,1.205113497,8.11633524,6.704946293,0.09345342,0.07720401,-0.01624941,77140.03723,2347.38648,76809.57,CREDIT SUISSE FUND LU OMN K0TJ
,1,K06899YP,VGG7238P1146,135.655,PRIMA CAPITAL FUND D,EUR,326.76,0.674844257,8.11633524,6.704946293,0.05233242,0.043233009,-0.00909941,43197.18532,2087.464157,42810,CREDIT SUISSE FUND LU OMN K0TJ
,0,K06899YP,XD1117869309,100,QBERA TR FIN EARL IN 0421,USD,1074.7124,1.534838133,0,-1.193255512,0,-0.018897772,-0.01889777,98245.90876,-9116.970258,105869.92,APEX/IE/QBERA/INE/KKH1
Gold and other commodities,,,,,,,,,,,,,,,,,
,1,K00149ED,GB00B15KXV33,9363,WISDOMT.ETC-CRUDE OIL IDX,USD,8.06875,1.078925863,-10.30985133,-11.38008397,-0.1279735,-0.141255997,-0.0132825,69062.69115,-12381.38155,86017.05,CAC GB MKT OMN
,1,K06899YP,GB00B15KXV33,18480,WISDOMT.ETC-CRUDE OIL IDX,USD,8.06875,2.129504427,-8.68425695,-9.689197695,-0.16942113,-0.188731298,-0.01931017,136310.8547,-15319.97496,163004.95,CAC GB MKT OMN
,1,K00149ED,JE00B1VS3770,865,WISDOMT.ETC-PHYSICAL GD $,USD,185.23,2.288219883,8.23302559,6.941529049,0.17960491,0.151428517,-0.02817639,146470.3261,5980.449351,147197.05,CAC GB MKT OMN
,1,K06899YP,JE00B1VS3770,1108,WISDOMT.ETC-PHYSICAL GD $,USD,185.23,2.931037723,8.23302559,6.941529049,0.23006039,0.193968551,-0.03609184,187617.4813,12591.14741,184277.02,CAC GB MKT OMN
,1,K00149ED,GB00B15KYH63,6300,WISDOMTREE-ETC-AIGCI(LDN),USD,6.255,0.56277939,-7.03775471,-8.147031826,-0.04396291,-0.050891536,-0.00692862,36023.84604,-2666.497085,40422.44,CAC GB MKT OMN
,1,K06899YP,GB00B15KYH63,8400,WISDOMTREE-ETC-AIGCI(LDN),USD,6.255,0.75037252,-7.03775471,-8.147031826,-0.05861722,-0.067855382,-0.00923816,48031.79472,-2594.63432,54522.97,CAC GB MKT OMN
Real Estate,,,,,,,,,,,,,,,,,
,0,K00149ED,LU1912828099,1410.92,SEGETIA LUX SWISS PROP C,CHF,147.7508,3.25671937,0,0,0,0,0,208464.5587,70326.10589,141092,FIDUCENTER /LU/SEGETIA/KDE0
Other investments,,,,,,,,,,,,,,,,,
,0,K06899YP,LU1693257310,2707.23,EUROPEAN SEC LEND A RAIF,EUR,126.18,5.200613034,1.56966916,0.243742713,0.08302277,0.01289229,-0.07013048,332894.3572,15386.67542,330742.29,EFA EUROPEAN SEC LENDING LU KA37
,1,K00149ED,IE00BD08G390,1102.5314,MONTLAKE ALPHAQUEST INS €,EUR,98.0827,1.646350282,-6.9885474,-7.999473291,-0.14875247,-0.170233607,-0.02148114,105383.8683,-7427.123453,115566.38,NTRS/IE/MONTLAKE/INE
